,Songs,Listeners,Playcount,Duration,Tags
0,R-Evolve,338996,2314959,239000,"[u'alternative rock', u'rock', u'30 seconds to mars', u'alternative', u'emo', u'Jared Leto', u'indie rock', u'beautiful', u'Progressive rock', u'melancholy', u'modern rock', u'30stm', u'indie', u'sad', u'american', u'deep', u'R-Evolve', u'Love it', u'00s', u'seen live', u'atmospheric', u'emotional', u'hard rock', u'favorites', u'good', u'makes me cry', u'A Beautiful Lie', u'Love', u'Dreamy', u'alternative metal', u'love at first listen', u'Shannon Leto', u'space rock', u'amazing', u'male vocalists', u'FUCKING AWESOME', u'songs to hear before you die', u'echelon', u'chill', u'epic', u'Like', u'intense', u'melancholic', u'Favorite', u'30', u'addicting', u'art-rock', u'feeling', u'wristslitters', u'sonic rock']"
1,The Story,368909,2540480,235000,"[u'alternative rock', u'rock', u'alternative', u'30 seconds to mars', u'emo', u'Progressive rock', u'seen live', u'Jared Leto', u'the story', u'favorites', u'Dreamy', u'melancholic', u'A Beautiful Lie', u'indie', u'30stm', u'Awesome', u'indie rock', u'atmospheric', u'american', u'Favourites', u'sexy voice', u'hot lead singer', u'listened to over and over', u'sad', u'Love', u'my music', u'soundtrack to my life', u'Shannon Leto', u'ambient', u'hard rock', u'calm', u'melancholy', u'00s', u'brilliant', u'30 Second to Mars', u'metal', u'beautiful', u'favourite', u'emotional', u'sex', u'Favorite', u'fav', u'rock ballad', u'life', u'<3', u'beautiful melodies', u'My Favorites', u'dreamer', u'my life in songs', u'Columbine']"
2,From Yesterday,724652,5785962,247000,"[u'alternative rock', u'rock', u'alternative', u'30 seconds to mars', u'emo', u'from yesterday', u'Progressive rock', u'indie', u'Jared Leto', u'30stm', u'hard rock', u'FUCKING AWESOME', u'Awesome', u'modern rock', u'screamo', u'00s', u'favorites', u'Love it', u'metal', u'male vocalists', u'punk rock', u'seen live', u'american', u'punk', u'Favorite', u'pop rock', u'beautiful', u'30 Seconds to Mars - From Yesterday', u'emotional', u'not emo', u'epic', u'space rock', u'love at first listen', u'alternative metal', u'amazing', u'Favourites', u'emocore', u'A Beautiful Lie', u'sexy voice', u'pop', u'favorite songs', u'sexy', u'2007', u'favourite', u'Nu Metal', u'powerful', u'My Favourites', u'Love', u'great song', u'loved']"
3,Savior,348265,2441310,204000,"[u'alternative rock', u'rock', u'30 seconds to mars', u'alternative', u'emo', u'indie', u'Progressive rock', u'savior', u'hard rock', u'Awesome', u'space rock', u'Jared Leto', u'A Beautiful Lie', u'seen live', u'metal', u'industrial', u'30stm', u'indie rock', u'male vocalists', u'favorites', u'Love', u'american', u'00s', u'favorite songs', u'sexy', u'art rock', u'alternative metal', u'deep and meaningful', u'echelon', u'emotional', u'Favorite', u'Love it', u'sexy voice', u'songs that you wanna listen to over and over again', u'loved on first listen', u'30stm is love', u'I love him and his perfect music', u'singer-songwriter', u'drums', u'upbeat', u'Energetic', u'favourite', u'good', u'post-grunge', u'Favourites', u'love at first listen', u'6 of 10 stars', u'Nu-metal', u'sound storm', u'good song']"
4,The Fantasy,416998,3002451,269000,"[u'alternative rock', u'rock', u'30 seconds to mars', u'alternative', u'emo', u'Progressive rock', u'seen live', u'30stm', u'Awesome', u'indie', u'fantasy', u'favorites', u'the fantasy', u'indie rock', u'screamo', u'Jared Leto', u'beautiful', u'american', u'hard rock', u'male vocalist', u'00s', u'Energetic', u'space rock', u'Love', u'alternative metal', u'Masterpiece', u'metal', u'Favorite', u'A Beautiful Lie', u'male vocalists', u'alt rock', u'Shannon Leto', u'favorite songs', u'sexy', u'drums', u'amazing', u'great lyrics', u'FUCKING AWESOME', u'30', u'heard live', u'My Favourites', u'I could listen to this song forever', u'for the fantasy', u'I could sing this song forever', u'30 seconds to mars-the fantasy', u'chill', u'punk rock', u'favourite', u'post-hardcore', u'fav']"
5,Was It a Dream?,411537,3063966,255000,"[u'alternative rock', u'rock', u'30 seconds to mars', u'alternative', u'emo', u'Progressive rock', u'american', u'Jared Leto', u'was it a dream', u'30stm', u'favorites', u'industrial', u'metal', u'indie', u'indie rock', u'screamo', u'seen live', u'beautiful', u'male vocalists', u'Favourites', u'FUCKING AWESOME', u'punk', u'hard rock', u'modern rock', u'00s', u'Dream', u'Favorite Bands', u'Dreamy', u'summer', u'Mellow', u'good', u'Nu Metal', u'Emo rock', u'mood-driven', u'A Beautiful Lie', u'Shannon Leto', u'sexy', u'Love', u'epic', u'Awesome', u'guitar', u'atmospheric', u'amazing', u'loved', u'male vocalist', u'love at first listen', u'i fucking love this song', u'Masterpiece', u'30', u'Favourite Songs']"
6,The Kill (Bury Me),191360,954691,230000,"[u'rock', u'alternative rock', u'alternative', u'30 seconds to mars', u'emo', u'acoustic', u'favorites', u'seen live', u'punk', u'hard rock', u'The Kill', u'Favorite Bands', u'american', u'screamo', u'nostalgic', u'intense', u'Favoritos', u'sachen die ich gerne hoeren mag', u'the kill - 30 seconds to mars', u'love it too much teh kill', u'the best to my heart now', u'Soundtrack', u'indie', u'pop', u'chill', u'Progressive rock', u'USA', u'pop rock', u'Love', u'guitar', u'strings', u'Driving', u'my love', u'alternative metal', u'jazzy', u'modern rock', u'male vocalists', u'live', u'00s', u'ruhig', u'heart', u'9 of 10 stars', u'sugar', u'emocore', u'Bandas que amo', u'Perfection', u'design', u'Yay', u'2', u'30']"
7,A Beautiful Lie,635624,5479283,245000,"[u'alternative rock', u'rock', u'30 seconds to mars', u'alternative', u'emo', u'Progressive rock', u'favorites', u'Jared Leto', u'A Beautiful Lie', u'Awesome', u'30stm', u'beautiful', u'modern rock', u'male vocalists', u'seen live', u'Love', u'Love it', u'30 Seconds to Mars - A Beautiful Lie', u'Beautiful Lie', u'indie', u'hard rock', u'space rock', u'emocore', u'Favourite Songs', u'not emo', u'00s', u'post-hardcore', u'<3', u'metal', u'amazing', u'post-grunge', u'punk', u'power', u'favourite', u'Favourites', u'FUCKING AWESOME', u'All time favourites', u'indie rock', u'catchy', u'epic', u'american', u'punk rock', u'screamo', u'alt rock', u'Nu-metal', u'songs that you wanna listen to over and over again', u'echelon', u'melancholy', u'Favorite', u'songs I absolutely love']"
8,Closer to the Edge,447655,4366173,273000,"[u'alternative rock', u'rock', u'30 seconds to mars', u'alternative', u'00s', u'indie', u'FUCKING AWESOME', u'Makes Me Smile', u'closer to the edge', u'electronic', u'this is war', u'i fucking love this song', u'Awesome', u'Jared Leto', u'songs that you wanna listen to over and over again', u'american', u'love at first listen', u'electronic rock', u'play it loud', u'Its all about the lyrics', u'absolutely wonderful', u'hard rock', u'so fucking amazing', u'Progressive rock', u'epic', u'Energetic', u'makes me move', u'american rock', u'emo', u'great song', u'seen live', u'modern rock', u'post-hardcore', u'synth rock', u'Better Than Sex', u'cimx-fm', u'awesome voice', u'beautiful words', u'Soundtrack For Life', u'more than physical attraction', u'songs that everyone should be listening to', u'great video and song', u'singer-songwriter', u'punk rock', u'space rock', u'amazing', u'loved', u'great lyrics', u'8 of 10 stars', u'Awake']"
9,Kings and Queens,537816,4637698,347000,"[u'alternative rock', u'rock', u'30 seconds to mars', u'alternative', u'songs that you wanna listen to over and over again', u'epic', u'emo', u'indie rock', u'FUCKING AWESOME', u'indie', u'kings and queens', u'american', u'pop', u'00s', u'play it loud', u'male vocalists', u'love at first listen', u'cimx-fm', u'pop rock', u'perfect', u'hard rock', u'this is war', u'songs that make me think about my friends', u'2009', u'Awesome', u'Energetic', u'amazing', u'modern rock', u'post-grunge', u'Kings', u'synthrock', u'Best Band EVER', u'Jared Leto', u'songs that make you want to sing along', u'everyday listening', u'songs that are important to me', u'seen live', u'punk', u'hardcore', u'Progressive rock', u'favorites', u'Post punk', u'great lyrics', u'2010', u'unforgettable', u'epic music', u'if you fall in love with me you should know these songs by heart', u'screaming out', u'songs that cheer me up', u'reasons to breathe']"
